,name,deviation_bits,test_accuracy_score,test_f1_score,test_recall_score,test_precision_score,test_roc_auc_score,training_time,prediction_time
0,Isolation Forest Bases,3,0.9395604395604396,0.9681072724828607,0.9382022471910112,1.0,0.9691011235955056,0.07966643571853638,0.022951900959014893
1,Isolation Forest Bases - extended,3,0.9417582417582417,0.9693036698480977,0.9404494382022472,1.0,0.9702247191011235,0.08784422278404236,0.023426175117492676
2,Isolation Forest Original,3,0.9362637362637363,0.9663126764350048,0.9348314606741572,1.0,0.9674157303370785,0.07597479224205017,0.022292405366897583
