,name,deviation_bits,test_accuracy_score,test_f1_score,test_recall_score,test_precision_score,test_roc_auc_score,training_time,prediction_time
0,Isolation Forest Bases,3,0.4988855116514691,0.6644553371150451,0.4978680203045685,1.0,0.7489340101522843,0.09464442729949951,0.05676347017288208
1,Isolation Forest Bases - extended,3,0.5016210739614995,0.6670445487092472,0.5006091370558374,1.0,0.7503045685279187,0.133963942527771,0.27745118737220764
2,Isolation Forest Original,3,0.5472644376899696,0.706107643051715,0.5463451776649746,1.0,0.7731725888324873,0.0937834084033966,0.05577665567398071
