,name,deviation_bits,test_accuracy_score,test_f1_score,test_recall_score,test_roc_auc_score,training_time,prediction_time
0,Isolation Forest Bases,1,0.9384615384615383,0.9675049000405285,0.9370786516853934,0.9685393258426968,0.07526591420173645,0.021582937240600585
1,Isolation Forest Bases - extended,1,0.9386813186813187,0.9676273142416016,0.9373033707865168,0.9686516853932585,0.08688180446624756,0.02337989807128906
2,Isolation Forest Original,1,0.9395604395604397,0.9681058973134753,0.9382022471910111,0.9691011235955057,0.075190269947052,0.021883100271224976
