,name,deviation_bits,test_accuracy_score,test_f1_score,test_recall_score,test_precision_score,test_roc_auc_score,training_time,prediction_time
0,Isolation Forest Bases,6,0.41443768996960484,0.5846655846660538,0.4133502538071066,0.9997606285504856,0.6816751269035534,0.09607446193695068,0.057369083166122437
1,Isolation Forest Bases - extended,6,0.7989361702127659,0.8880249600398666,0.7990355329949239,0.9993650684865241,0.7745177664974618,0.14261719584465027,0.12925013899803162
2,Isolation Forest Original,6,0.5476697061803445,0.7066813619180307,0.546751269035533,1.0,0.7733756345177664,0.09912687540054321,0.05930635333061218
