,name,deviation_bits,test_accuracy_score,test_f1_score,test_recall_score,test_precision_score,test_roc_auc_score,training_time,prediction_time
0,Isolation Forest Bases,6,0.945054945054945,0.9710982658959537,0.9438202247191011,1.0,0.9719101123595506,0.082765132188797,0.0233975350856781
1,Isolation Forest Bases - extended,6,0.945054945054945,0.9710982658959537,0.9438202247191011,1.0,0.9719101123595506,0.0871523916721344,0.024043530225753784
2,Isolation Forest Original,6,0.9406593406593406,0.9687054711654792,0.9393258426966293,1.0,0.9696629213483146,0.0771297812461853,0.02256685495376587
