,name,deviation_bits,test_accuracy_score,test_f1_score,test_recall_score,test_precision_score,test_roc_auc_score,training_time,prediction_time
0,Isolation Forest Bases,1,0.5266464032421478,0.6889685811628923,0.5256852791878173,1.0,0.7628426395939087,0.09404045343399048,0.055702924728393555
1,Isolation Forest Bases - extended,1,0.533434650455927,0.6947059001706772,0.5324873096446701,1.0,0.766243654822335,0.13308602571487427,0.27750468254089355
2,Isolation Forest Original,1,0.5456940222897669,0.7047680214786782,0.5447715736040608,1.0,0.7723857868020305,0.09375819563865662,0.05518627166748047
